,precision,recall,f1-score,support
01_TUMOR,0.8764044943820225,0.9512195121951219,0.9122807017543859,82.0
02_STROMA,0.6404494382022472,0.5876288659793815,0.6129032258064516,97.0
03_COMPLEX,0.6694214876033058,0.9,0.7677725118483413,90.0
04_LYMPHO,0.9518072289156626,0.8681318681318682,0.9080459770114943,91.0
05_DEBRIS,0.7383177570093458,0.6694915254237288,0.7022222222222222,118.0
06_MUCOSA,0.8842105263157894,0.8,0.84,105.0
07_ADIPOSE,0.8947368421052632,0.9444444444444444,0.918918918918919,90.0
08_EMPTY,0.967741935483871,0.9090909090909091,0.9375,99.0
accuracy,0.8199481865284974,0.8199481865284974,0.8199481865284974,0.8199481865284974
macro avg,0.8278862137521885,0.8287508906581817,0.8249554446952267,772.0
weighted avg,0.8253206266233216,0.8199481865284974,0.8193882970808382,772.0
