,precision,recall,f1-score,support
01_TUMOR,0.9210526315789473,0.8536585365853658,0.8860759493670886,82.0
02_STROMA,0.7666666666666667,0.711340206185567,0.7379679144385026,97.0
03_COMPLEX,0.5968992248062015,0.8555555555555555,0.7031963470319634,90.0
04_LYMPHO,0.8823529411764706,0.8241758241758241,0.8522727272727273,91.0
05_DEBRIS,0.9473684210526315,0.7627118644067796,0.8450704225352113,118.0
06_MUCOSA,0.8878504672897196,0.9047619047619048,0.8962264150943396,105.0
07_ADIPOSE,0.978021978021978,0.9888888888888889,0.9834254143646409,90.0
08_EMPTY,0.98989898989899,0.98989898989899,0.98989898989899,99.0
accuracy,0.8588082901554405,0.8588082901554405,0.8588082901554405,0.8588082901554405
macro avg,0.8712639150614506,0.8613739713073595,0.861766772500433,772.0
weighted avg,0.8742795092064332,0.8588082901554405,0.8619377923577839,772.0
